媒体名称,收录类型,地区,门户类型,收录效果,频道类型,成本价,案例,入口,备注
中国新闻报道,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,18,http://www.chinanewsreport.com.cn/sj/201711/1511414.html,,有口
娄底新闻,网页收录,湖南,地方重点门户,不包网页收录,新闻资讯,18,http://www.xxcmw.com/shangxun/a-333455.html,,不涉及医疗 黄赌毒  可带图不要内容文字带电话 带网络地址  不做微商 传销类
岳阳网,百度新闻源收录,湖南,地方重点门户,不包百度新闻源收录,新闻资讯,18,http://www.803.com.cn/jiaodian/a-333371.html,,不涉及医疗 黄赌毒  可带图  不要内容文字带电话 带网络地址  不做微商 传销类
济南广电.,网页收录,山东,地方重点门户,不包网页收录,新闻资讯,18,http://www.ijntv.cn/inews/a-332938.html,,不涉及医疗 黄赌毒  可带图   不要内容文字带电话 带网络地址  不做微商 传销类
十堰广电网,网页收录,重庆,地方重点门户,不包网页收录,新闻资讯,18,http://www.syiptv.com/fuwu/a-332481.html,,不涉及医疗 黄赌毒  可带图 不要内容文字带电话 带网络地址  不做微商 传销类
西楚网,网页收录,江苏,地方重点门户,不包网页收录,新闻资讯,18,http://www.xichu.net/look/a-331445.html,,不涉及医疗 黄赌毒  可带图  不要内容文字带电话 带网络地址  不做微商 传销类
河北网络广播电视台,网页收录,河北,地方重点门户,不包网页收录,新闻资讯,18,http://www.hebtv.com/qiyexinxi/a-332932.html,,不涉及医疗 黄赌毒  可带图 不要内容文字带电话 带网络地址  不做微商 传销类
东风热线,网页收录,全国,地方重点门户,不包网页收录,新闻资讯,18,http://www.dongfeng.net/make/a-329290.html,,不涉及医疗 黄赌毒  可带图   不要内容文字带电话 带网络地址  不做微商 传销类
金泉网,网页收录,全国,全国商业门户,不包网页收录,财经金融,18,http://www.jqw.com/bianmin/a-331464.html,,不涉及医疗 黄赌毒  可带图 不要内容文字带电话 带网络地址  不做微商 传销类
直销报道网,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,18,http://www.chndsnews.com/qyjx/a-323747.html,,不涉及医疗 黄赌毒  可带图  不要内容文字带电话 带网络地址  不做微商 传销类
四川新闻网-财经,百度新闻源收录,四川,地方商业门户,不包百度新闻源收录,财经金融,40,http://finance.newssc.org/system/20181016/002528656.html,,周末不发 不发维权、P2P、医疗类
华声在线-资讯,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,55,http://www.voc.com.cn/article/201810/201810171535126128.html,,周末不发 医疗 微商 加盟  婚纱  金融不发，非编辑问题不改稿
腾讯网-大燕北京,百度新闻源收录,北京,中国五大门户,不包百度新闻源收录,新闻资讯,55,http://bj.jjj.qq.com/a/20180919/010740.htm,,周末不发；医疗 负面 时政 领导人的不发
中国网-中国制造首发,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,50,http://zgzz.china.com.cn/2018-10/10/content_40529088.htm,,周末不发，纯医疗，加盟，负面，涉外，纯教育，纯娱乐明星，涉党政，不发
中国网-中国制造,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,35,http://zgzz.china.com.cn/2018-10/10/content_40528913.htm,,周末不发，纯医疗，加盟，负面，涉外，纯教育，纯娱乐明星，涉党政，不发
凤凰网音乐,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,文化艺术,100,http://yue.ifeng.com/a/20180928/39861510_0.shtml,,周末不发 只发音乐相关 一般只带一个图，修改不通知，两天内回复
长江网-财经,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,财经金融,55,http://finance.cjn.cn/esyw/201811/t3315163.htm,http://zx.cjn.cn/mq/,周末 医疗 微商 加盟 负面 婚纱 不发；金融要看稿件，非编辑问题不改稿
经济网.,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,财经金融,50,http://www.jingji.com.cn/html/news/zxxw/124006.html,,周末可发 微商和负面不发   加盟  婚纱 金融看内容发不保证    限带图5张，不带网络图，不带任何联系方式
